name,hours,day-code
Mon,4pm - 10pm,1
Tue,4pm - 10pm,2
Wed,4pm - 10pm,3
Thu,4pm - 10pm,4
Fri,noon - 12am,5
Sat,noon - 12am,6
Sun,noon - 9pm,0
