type,variant,tempName
,,
,,
,,
Edo,edo,
Levenator,levenator,
Douple IPA,,Douple IPA
Triple IPA,,Triple IPA
Demeter,demeter,Barleywine
Bourbon Barrel-aged Imperial Stout,,Bourbon Barrel-aged Imperial Stout
