type,variant,tempName
Vespero,vespero,
West Coast Pils,,West Coast Pils
Pumpkin Stout,,Pumpkin Stout
,priscus,
Faust,faust,
Imperial Stout,,Imperial Stout
Grandar,grandar,
West Coast IPA,,West Coast IPA
