name,hours,day-code
Monday,4pm - 10pm,1
Tuesday,10am - 4pm,2
Wednesday,Closed,3
Thursday,4pm - 10pm,4
Friday,noon - 12am,5
Saturday,noon - 12am,6
Sunday,noon - 9pm,0
