date,vendor,time,attendees,site,end
2024-12-28,Pop Up Gallery USA pop up market,2-7pm ,,,
2025-01-16,Open Mic night by Nadiya, 7-9,,,
2025-01-18,Jigsaw Speed Dating event ,7-9pm,,,
2025-01-30,Open Mic night by Nadiya,7-9,,,
2025-02-08,Eek Galentine's pop up market,4-7pm ,,,
2025-02-13,Open Mic night by Nadiya,7-9,,https://www.instagram.com/p/DFYipkvSgud/?img_index=1,
2025-02-15,Jigsaw Singles Mixer Event ,7-9pm ,,https://store.jigsaw.co/products/pittsburgh-february-singles-happy-hour,
2025-02-22,Pop Up Gallery USA pop up market ,2-7pm ,,,
2025-02-27,Open Mic night by Nadiya,7-9,,https://www.instagram.com/p/DFYipkvSgud/?img_index=1,
2025-03-06,Open Mic night by Nadiya,7-9,,https://www.instagram.com/p/DFYipkvSgud/?img_index=1,
2025-03-08,Stand Up: Joe Bartnick,8pm,,https://www.eventbrite.com/cc/march-8-joe-bartnick-friends-4005493,
2025-03-15,Jigsaw Singles Mixer ,7-9pm,,,
2025-03-20,Stand Up: Sam Ramsdell,7pm,,https://www.eventbrite.com/e/thursday-mar-20-sam-ramsdell-tickets-1218070805569?aff=oddtdtcreator,
2025-03-22,Eeek! Adult Book Fair ,4-7pm ,,https://www.facebook.com/share/1Cr3KmGpYD/,
2025-03-27,Open Mic night by Nadiya,7-9,,https://www.instagram.com/p/DFYipkvSgud/?img_index=1,
2025-04-02,Steel City Ukeleles Night ,7pm ,,https://www.meetup.com/steel-city-ukuleles/events/306642118/?eventOrigin=group_upcoming_events&_gl=1*ef0dik*_up*MQ..*_ga*NTY4ODcyODY5LjE3NDI5MTU1NDE.*_ga_NP82XMKW0P*MTc0MjkxNTU0MC4xLjAuMTc0MjkxNTU0MC4wLjAuMA..,
2025-04-10,Open Mic Night by Nadiya,7pm ,,,
2025-04-12,In the Shadows pop up market,4-7pm ,, https://www.facebook.com/share/16Cbb3Kuma/,
2025-04-12,L'ville Brewery Crawl V,12pm,,https://www.instagram.com/p/DIB_x4Sp23u/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,
2025-04-15,Dollar Taco Tuesday ,5-8pm ,,https://www.instagram.com/p/DIeBUj_Mh7d/?igsh=Mm5ka3VnZDV0OWJx,
2025-04-16,Steel City Ukeleles ,7pm,,https://www.meetup.com/steel-city-ukuleles/?_gl=1*cm16s5*_up*MQ..*_ga*MTAxNjM4MDg1Ni4xNzQyOTE1NzAz*_ga_NP82XMKW0P*MTc0MzY5ODM4Ni40LjAuMTc0MzY5ODM4Ni42MC4wLjA.,
2025-04-17,Open Mic Night by Nadiya,7pm,,,
2025-04-22,BYO Crafts and Drafts hosted by Rae ,6-8pm ,,https://www.instagram.com/p/DIeBUj_Mh7d/?igsh=Mm5ka3VnZDV0OWJx,
2025-04-22,Dollar Taco Tuesday ,5-8pm,,https://www.instagram.com/p/DIeBUj_Mh7d/?igsh=Mm5ka3VnZDV0OWJx,
2025-04-24,LC and LU merging mixer,,,,
2025-04-26,Jigsaw Singles Mixer , 7-9pm ,,https://store.jigsaw.co/collections/pittsburgh-pa,
2025-04-29,Narcissi Pig Roast ,5:30-8pm,,,
2025-04-29,Dollar Taco Tuesday ,5-8pm ,,https://www.instagram.com/p/DIeBUj_Mh7d/?igsh=Mm5ka3VnZDV0OWJx,
2025-05-02,Adult Spelling Bee ,6-8:30pm,,https://secure.actblue.com/donate/a4aspellingbee,
2025-05-03,Dog of the Month Social ,2-4:30pm ,,https://docs.google.com/forms/d/e/1FAIpQLSevGB6QPxFy1Ff3W4WADnM3jJt_2t-kIDxh5Wgk7AWtg9Gmbw/viewform?usp=header,
2025-05-06,Dollar Taco Tuesday ,5-8pm ,,https://www.instagram.com/p/DIeBUj_Mh7d/?igsh=Mm5ka3VnZDV0OWJx,
