beer,half,halfStock,sixtel,sixtelStock,case,caseStock,retail
tides,$245,TRUE,$120,FALSE,$75,TRUE,$17
lupitor,$245,TRUE,$120,FALSE,$75,TRUE,$17
sebastian,$190,FALSE,$95,FALSE,$50,TRUE,$12
elias,$190,TRUE,$95,FALSE,$50,TRUE,$12
dom,$190,TRUE,$95,FALSE,$50,TRUE,$12
kimik,$200,TRUE,$100,FALSE,$60,FALSE,$14
